Category,Subcategory,English String,Translation Key
Location,Maps,OpenStreetMap,location.openStreetMap
Location,Access,Location access denied,location.accessDenied
Location,Access,Location access granted,location.accessGranted
Dashboard,Metrics,Active Orders,dashboard.activeOrders
Dashboard,Metrics,Average Delivery Time,dashboard.avgDeliveryTime
Dashboard,Metrics,Average Order Value,dashboard.avgOrderValue
Dashboard,Metrics,Platform Performance,dashboard.platformPerformance
Errors,Messages,Error,errors.error
Errors,Messages,Invalid,errors.invalid
Errors,Messages,File type not supported,errors.fileTypeNotSupported
Profile,Account,Profile,profile.profile
Profile,Account,User ID,profile.userId
Profile,Account,Verified,profile.verified
Settings,General,General Settings,settings.generalSettings
Settings,General,Security Settings,settings.securitySettings
Components,UI Library,Buttons,components.buttons
Components,UI Library,Cards,components.cards
Components,UI Library,Primary Buttons,components.primaryButtons
Legal,Policies,Terms of Service,legal.termsOfService
Legal,Policies,Privacy Policy,legal.privacyPolicy
Legal,Policies,Cookie Policy,legal.cookiePolicy
Legal,Rights,Driver Rights:,legal.driverRights
Legal,Rights,Customer Rights:,legal.customerRights
Vehicles,Transport,Car,vehicles.car
Vehicles,Transport,Bike (Motorcycle),vehicles.bike
Vehicles,Transport,Truck,vehicles.truck
Vehicles,Transport,Van,vehicles.van
Time & Dates,General,Today,dashboard.today
Time & Dates,General,Date,forms.date
Features,Capabilities,Accept International Orders,features.internationalOrders
Features,Capabilities,AI-optimized routing ensures the fastest possible delivery times.,features.aiRouting
Features,Capabilities,Comprehensive platform management and analytics,features.platformManagement
Languages,Supported,English,languages.english
Languages,Supported,Arabic,languages.arabic
Languages,Supported,Turkish,languages.turkish
